DTALite:
A Fast Open Source DTA Engine
Software Version =,1.1.0
Release Date=,Jun 25 2016
Simulation Date =,year: 2017,month:01,day:30,hour:14,min:27
----------------------test1----------------------
Signal Control Representation =,Continuous Flow with Link Capacity Constraint
Traffic Flow Model =,Point Queue Model
Assignment method=,MSA
 


# of Nodes=,24
# of Link Types=,12
# of Links=,76
# of Prohibited Movements=,0
# of Pretimed Signals=,0
# of Actuated Signals=,0
# of Zones=,24
# of Activity Locations=,24
# of Vehicle Types=,5
# of Demand Types=,4
# of Sensor Records=,0
Demand Load Mode=,demand meta databaseReading demand file,input_demand.csv,cumulative # of agents=,360600,


Demand multiplier in input_scenario_settings.csv file=,1
# of Vehicles to be simulated=,360600
# of Intra-zone Vehicles (not be simulated)=,0
Starting Time of Demand Loading (min)=,420
Ending Time of Demand Loading (min)=,540
Output Emission data=,YES
Output second by second speed data=,NO
Vehicle ID with second by second speed data=,0

--Link Type Statistics--
link_type,link_type_name,link_type_code,number_of_links,avg_lane_capacity,avg_number_of_lanes,avg_speed_limit,avg_link_length,avg_K_jam,total_link_length,
1,Freeway,f,76,10247.2,2.88158,60,4.13158,180,314,
2,Highway,h,0,0,0,0,0,0,0,
3,Principal arterial,a,0,0,0,0,0,0,0,
4,Major arterial,a,0,0,0,0,0,0,0,
5,Minor arterial,a,0,0,0,0,0,0,0,
6,Collector,a,0,0,0,0,0,0,0,
7,Local,a,0,0,0,0,0,0,0,
8,Frontage road,a,0,0,0,0,0,0,0,
9,Ramp,r,0,0,0,0,0,0,0,
10,Zonal connector,c,0,0,0,0,0,0,0,
100,Transit link,t,0,0,0,0,0,0,0,
200,Walking link,w,0,0,0,0,0,0,0,
# of demand type code based toll records=0
Assignment method=,Zone-based routing
Iteration #,CPU Running Time,Per Iteration CPU Running Time,# of agents,Avg Travel Time (min),Avg Waiting Time at Origin (min),Avg Trip Time Index=(Mean TT/Free-flow TT),Avg Distance,Avg Speed,Avg CO (g),% considering to switch,% switched,% completing trips,network clearance time (in min),Avg User Equilibirum (UE) gap (min),Relative UE gap (%),ODME: number of data points,ODME: Absolute link count error,ODME: % link count error,ODME: slope =observed/estimated link count,ODME: r_squared link count,travel_time_ 7:00,travel_time_ 7:15,travel_time_ 7:30,travel_time_ 7:45,travel_time_ 8:00,travel_time_ 8:15,travel_time_ 8:30,travel_time_ 8:45,Avg UE gap_ 7:00,Avg UE gap_ 7:15,Avg UE gap_ 7:30,Avg UE gap_ 7:45,Avg UE gap_ 8:00,Avg UE gap_ 8:15,Avg UE gap_ 8:30,Avg UE gap_ 8:45,Relative UE gap_ 7:00,Relative UE gap_ 7:15,Relative UE gap_ 7:30,Relative UE gap_ 7:45,Relative UE gap_ 8:00,Relative UE gap_ 8:15,Relative UE gap_ 8:30,Relative UE gap_ 8:45,
1,00:00:05,00:00:05,360600,9.59507,3.54836,1.49229,8.80754,55.0754,11314.8,100,100,100,840, , , , , , , ,9.28961,9.53925,9.56538,9.62072,9.66788,9.6898,9.74853,9.67797, , , , , , , , , , , , , , , , ,


--Time Dependent Network MOE--,60 min interval
time_stamp_in_min,time_clock,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,number_vehicles_entering_network,total_vehicle_mile_traveled,avg_trip_time (departure_time_based),avg_trip_time_index = trip time/FFTT,avg_distance,avg_speed,
455, 7:35,108180,77568,30612,15150,131626,13.1324,1.49277,8.79735,40.1937,
460, 7:40,123150,91865,31285,14970,132892,13.3189,1.51207,8.80838,39.6807,
465, 7:45,138223,106126,32097,15073,134018,13.5012,1.52774,8.83732,39.2736,
470, 7:50,153122,120390,32732,14899,132170,13.7013,1.556,8.80546,38.5604,
475, 7:55,168287,134691,33596,15165,132378,13.8587,1.57381,8.80583,38.1241,
480, 8:00,183360,148989,34371,15073,132378,14.0439,1.59484,8.80583,37.6213,
485, 8:05,198330,163247,35083,14970,132170,14.2517,1.61851,8.80546,37.0711,
490, 8:10,213363,177537,35826,15033,134018,14.3102,1.61929,8.83732,37.0532,
495, 8:15,228373,191846,36527,15010,130886,14.2875,1.62637,8.78488,36.892,
500, 8:20,243538,206121,37417,15165,133632,14.2056,1.61051,8.82059,37.2554,
505, 8:25,258625,220410,38215,15087,130916,14.1618,1.61105,8.79044,37.2428,
510, 8:30,273587,234686,38901,14962,133632,14.0746,1.59565,8.82059,37.6022,
515, 8:35,288480,248951,39529,14893,133278,14.0127,1.58781,8.82519,37.7879,
520, 8:40,303762,263229,40533,15282,131656,13.9508,1.58479,8.80289,37.8598,
525, 8:45,318732,277535,41197,14970,132892,13.858,1.57327,8.80838,38.137,
530, 8:50,333688,291832,41856,14956,132378,13.7331,1.55955,8.80583,38.4726,
535, 8:55,348775,306114,42661,15087,130164,13.5823,1.54664,8.78181,38.7939,
540, 9:00,360600,320410,40190,11825,0,0,0,0,0,
545, 9:05,360600,333254,27346,0,0,0,0,0,0,
550, 9:10,360600,340834,19766,0,0,0,0,0,0,
555, 9:15,360600,344672,15928,0,0,0,0,0,0,
560, 9:20,360600,346621,13979,0,0,0,0,0,0,
565, 9:25,360600,348126,12474,0,0,0,0,0,0,
570, 9:30,360600,349653,10947,0,0,0,0,0,0,
575, 9:35,360600,351265,9335,0,0,0,0,0,0,
580, 9:40,360600,352880,7720,0,0,0,0,0,0,
585, 9:45,360600,354499,6101,0,0,0,0,0,0,
590, 9:50,360600,356122,4478,0,0,0,0,0,0,
595, 9:55,360600,357736,2864,0,0,0,0,0,0,
600,10:00,360600,359415,1185,0,0,0,0,0,0,
605,10:05,360600,360275,325,0,0,0,0,0,0,
610,10:10,360600,360458,142,0,0,0,0,0,0,
615,10:15,360600,360600,0,0,0,0,0,0,0,
Unit of output:
travel time=,min
travel Cost=,dollar
distance=,miles
speed=,mph
energy=,1000 joule
CO2=,gram


--MOE Group 1--
 , , , , , , , , , , , , , , , , , , , ,
,#_of_vehicles,avg_distance,avg_travel_time,avg_speed,avg_toll_cost,avg_energy_K_joule,avg_CO2_gram,avg_NOX_gram,avg_CO_gram,avg_HC_gram,avg_PM_gram,avg_PM2_5_gram,avg_energy_K_joule_per_mile,avg_CO2_gram_per_mile,avg_NOX_gram_per_mile,avg_CO_gram_per_mile,avg_HC_gram_per_mile,avg_PM_gram_per_mile,avg_PM2_5_gram_per_mile,avg_MilesPerGallon,
network,360600,8.80754,13.1434,40.2066,0,0,0,0,11293.5,0,0,0,0,0,0,1282.25,0,0,0,0,


--MOE Group 2--
 , , , , , , , , , , , , , , , , , , , ,
,#_of_vehicles,avg_distance,avg_travel_time,avg_speed,avg_toll_cost,avg_energy_K_joule,avg_CO2_gram,avg_NOX_gram,avg_CO_gram,avg_HC_gram,avg_PM_gram,avg_PM2_5_gram,avg_energy_K_joule_per_mile,avg_CO2_gram_per_mile,avg_NOX_gram_per_mile,avg_CO_gram_per_mile,avg_HC_gram_per_mile,avg_PM_gram_per_mile,avg_PM2_5_gram_per_mile,avg_MilesPerGallon,
sov,360600,8.80754,13.1434,40.2066,0,0,0,0,11293.5,0,0,0,0,0,0,1282.25,0,0,0,0,
hov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
truck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
intermodal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,


--MOE Group 3--
 , , , , , , , , , , , , , , , , , , , ,
,#_of_vehicles,avg_distance,avg_travel_time,avg_speed,avg_toll_cost,avg_energy_K_joule,avg_CO2_gram,avg_NOX_gram,avg_CO_gram,avg_HC_gram,avg_PM_gram,avg_PM2_5_gram,avg_energy_K_joule_per_mile,avg_CO2_gram_per_mile,avg_NOX_gram_per_mile,avg_CO_gram_per_mile,avg_HC_gram_per_mile,avg_PM_gram_per_mile,avg_PM2_5_gram_per_mile,avg_MilesPerGallon,
passenger_car,360600,8.80754,13.1434,40.2066,0,0,0,0,11293.5,0,0,0,0,0,0,1282.25,0,0,0,0,
passenger_truck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
light_commercial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
single_unit_long_truck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
combination_long_truck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,


--MOE Group 4--
 , , , , , , , , , , , , , , , , , , , ,
,#_of_vehicles,avg_distance,avg_travel_time,avg_speed,avg_toll_cost,avg_energy_K_joule,avg_CO2_gram,avg_NOX_gram,avg_CO_gram,avg_HC_gram,avg_PM_gram,avg_PM2_5_gram,avg_energy_K_joule_per_mile,avg_CO2_gram_per_mile,avg_NOX_gram_per_mile,avg_CO_gram_per_mile,avg_HC_gram_per_mile,avg_PM_gram_per_mile,avg_PM2_5_gram_per_mile,avg_MilesPerGallon,
OD1,360600,8.80754,13.1434,40.2066,0,0,0,0,11293.5,0,0,0,0,0,0,1282.25,0,0,0,0,
OD2,360600,8.80754,13.1434,40.2066,0,0,0,0,11293.5,0,0,0,0,0,0,1282.25,0,0,0,0,


--MOE Group 5--
 , , , , , , , , , , , , , , , , , , , ,
,#_of_vehicles,avg_distance,avg_travel_time,avg_speed,avg_toll_cost,avg_energy_K_joule,avg_CO2_gram,avg_NOX_gram,avg_CO_gram,avg_HC_gram,avg_PM_gram,avg_PM2_5_gram,avg_energy_K_joule_per_mile,avg_CO2_gram_per_mile,avg_NOX_gram_per_mile,avg_CO_gram_per_mile,avg_HC_gram_per_mile,avg_PM_gram_per_mile,avg_PM2_5_gram_per_mile,avg_MilesPerGallon,
link_48_41_ NB freeway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
link_39_44_NB freeway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,


--MOE Group 6--
 , , , , , , , , , , , , , , , , , , , ,
,#_of_vehicles,avg_distance,avg_travel_time,avg_speed,avg_toll_cost,avg_energy_K_joule,avg_CO2_gram,avg_NOX_gram,avg_CO_gram,avg_HC_gram,avg_PM_gram,avg_PM2_5_gram,avg_energy_K_joule_per_mile,avg_CO2_gram_per_mile,avg_NOX_gram_per_mile,avg_CO_gram_per_mile,avg_HC_gram_per_mile,avg_PM_gram_per_mile,avg_PM2_5_gram_per_mile,avg_MilesPerGallon,
'Path1_Major freeway route,360600,8.80754,13.1434,40.2066,0,0,0,0,11293.5,0,0,0,0,0,0,1282.25,0,0,0,0,


--MOE Group 7--
Detailed Data:,output_NetworkTDMOE.csv
time_stamp_in_min,cumulative_in_flow_count,cumulative_out_flow_count,number_of_vehicles_in_network,flow_in_a_min,avg_trip_time_in_min
420,2748,0,2748,2748,8.74533,
421,5808,0,5808,3060,9.08089,
422,8882,124,8758,3074,9.05571,
423,11825,402,11423,2943,9.05669,
424,14822,901,13921,2997,9.10546,
425,18030,1676,16354,3208,9.25721,
426,20778,2735,18043,2748,8.95019,
427,23838,4009,19829,3060,9.31326,
428,26912,5498,21414,3074,9.31325,
429,29855,7239,22616,2943,9.3335,
430,32852,9196,23656,2997,9.38745,
431,36060,11290,24770,3208,9.51685,
432,38808,13512,25296,2748,9.73031,
433,41868,15874,25994,3060,12.312,
434,44942,18362,26580,3074,12.2889,
435,47885,20902,26983,2943,12.3111,
436,50882,23526,27356,2997,12.4262,
437,54090,26204,27886,3208,12.3631,
438,56838,28926,27912,2748,12.3582,
439,59898,31757,28141,3060,12.5315,
440,62972,34610,28362,3074,12.5051,
441,65915,37461,28454,2943,12.5358,
442,68983,40341,28642,3068,12.6074,
443,72120,43190,28930,3137,12.6142,
444,75000,46045,28955,2880,12.6515,
445,77928,48927,29001,2928,12.6912,
446,81002,51795,29207,3074,12.7235,
447,83945,54663,29282,2943,12.7612,
448,87013,57543,29470,3068,12.8206,
449,90150,60401,29749,3137,12.826,
450,93030,63251,29779,2880,12.8813,
451,95958,66125,29833,2928,12.9192,
452,99032,68979,30053,3074,12.9362,
453,101975,71846,30129,2943,12.9857,
454,105043,74720,30323,3068,13.0371,
455,108180,77568,30612,3137,13.0409,
456,111060,80400,30660,2880,13.1105,
457,113988,83271,30717,2928,13.141,
458,117062,86142,30920,3074,13.1576,
459,120005,89007,30998,2943,13.2168,
460,123150,91865,31285,3145,13.1785,
461,126210,94707,31503,3060,13.3345,
462,129207,97560,31647,2997,13.3851,
463,132227,100428,31799,3020,13.2883,
464,135092,103258,31834,2865,13.4193,
465,138223,106126,32097,3131,13.4245,
466,141180,108983,32197,2957,13.4154,
467,144240,111827,32413,3060,13.5581,
468,147237,114705,32532,2997,13.6021,
469,150257,117546,32711,3020,13.5068,
470,153122,120390,32732,2865,13.6439,
471,156253,123263,32990,3131,13.6321,
472,159210,126118,33092,2957,13.634,
473,162270,128982,33288,3060,13.7706,
474,165267,131849,33418,2997,13.8241,
475,168287,134691,33596,3020,13.7307,
476,171152,137528,33624,2865,13.8678,
477,174283,140413,33870,3131,13.8453,
478,177240,143257,33983,2957,13.8619,
479,180300,146121,34179,3060,13.987,
480,183360,148989,34371,3060,14.024,
481,186317,151842,34475,2957,13.974,
482,189448,154682,34766,3131,14.0265,
483,192313,157571,34742,2865,14.1357,
484,195333,160399,34934,3020,14.0634,
485,198330,163247,35083,2997,14.2282,
486,201390,166107,35283,3060,14.2411,
487,204347,168994,35353,2957,14.1981,
488,207478,171832,35646,3131,14.2363,
489,210343,174706,35637,2865,14.3599,
490,213363,177537,35826,3020,14.2624,
491,216360,180389,35971,2997,14.3944,
492,219420,183268,36152,3060,14.3564,
493,222377,186126,36251,2957,14.2722,
494,225508,188979,36529,3131,14.2664,
495,228373,191846,36527,2865,14.3435,
496,231393,194675,36718,3020,14.2272,
497,234390,197547,36843,2997,14.3427,
498,237450,200411,37039,3060,14.3047,
499,240407,203278,37129,2957,14.2208,
500,243538,206121,37417,3131,14.2039,
501,246612,208971,37641,3074,14.2,
502,249540,211817,37723,2928,14.2331,
503,252420,214680,37740,2880,14.2615,
504,255557,217541,38016,3137,14.136,
505,258625,220410,38215,3068,14.1603,
506,261568,223257,38311,2943,14.1965,
507,264642,226110,38532,3074,14.1239,
508,267570,228957,38613,2928,14.1518,
509,270450,231808,38642,2880,14.1787,
510,273587,234686,38901,3137,14.0619,
511,276655,237532,39123,3068,14.0828,
512,279598,240404,39194,2943,14.1166,
513,282672,243239,39433,3074,14.0427,
514,285600,246104,39496,2928,14.0708,
515,288480,248951,39529,2880,14.0989,
516,291617,251823,39794,3137,13.9791,
517,294685,254689,39996,3068,14.0004,
518,297628,257537,40091,2943,14.034,
519,300702,260381,40321,3074,13.9583,
520,303762,263229,40533,3060,14.0131,
521,306510,266106,40404,2748,13.9805,
522,309718,268950,40768,3208,13.8339,
523,312715,271835,40880,2997,13.9873,
524,315658,274667,40991,2943,13.9484,
525,318732,277535,41197,3074,13.873,
526,321792,280378,41414,3060,13.9239,
527,324540,283249,41291,2748,13.8841,
528,327748,286099,41649,3208,13.7372,
529,330745,288978,41767,2997,13.8806,
530,333688,291832,41856,2943,13.8354,
531,336762,294683,42079,3074,13.7487,
532,339822,297511,42311,3060,13.782,
533,342570,300389,42181,2748,13.7314,
534,345778,303256,42522,3208,13.5793,
535,348775,306114,42661,2997,13.6961,
536,351718,308992,42726,2943,13.6367,
537,354792,311822,42970,3074,13.5353,
538,357852,314692,43160,3060,13.5519,
539,360600,317561,43039,2748,13.4862,
540,360600,320410,40190,0,0,
541,360600,323278,37322,0,0,
542,360600,326060,34540,0,0,
543,360600,328650,31950,0,0,
544,360600,331091,29509,0,0,
545,360600,333254,27346,0,0,
546,360600,335162,25438,0,0,
547,360600,336875,23725,0,0,
548,360600,338423,22177,0,0,
549,360600,339712,20888,0,0,
550,360600,340834,19766,0,0,
551,360600,341860,18740,0,0,
552,360600,342709,17891,0,0,
553,360600,343458,17142,0,0,
554,360600,344101,16499,0,0,
555,360600,344672,15928,0,0,
556,360600,345195,15405,0,0,
557,360600,345633,14967,0,0,
558,360600,345990,14610,0,0,
559,360600,346313,14287,0,0,
560,360600,346621,13979,0,0,
561,360600,346928,13672,0,0,
562,360600,347225,13375,0,0,
563,360600,347523,13077,0,0,
564,360600,347825,12775,0,0,
565,360600,348126,12474,0,0,
566,360600,348425,12175,0,0,
567,360600,348721,11879,0,0,
568,360600,349024,11576,0,0,
569,360600,349338,11262,0,0,
570,360600,349653,10947,0,0,
571,360600,349971,10629,0,0,
572,360600,350293,10307,0,0,
573,360600,350618,9982,0,0,
574,360600,350941,9659,0,0,
575,360600,351265,9335,0,0,
576,360600,351586,9014,0,0,
577,360600,351909,8691,0,0,
578,360600,352235,8365,0,0,
579,360600,352560,8040,0,0,
580,360600,352880,7720,0,0,
581,360600,353206,7394,0,0,
582,360600,353530,7070,0,0,
583,360600,353854,6746,0,0,
584,360600,354178,6422,0,0,
585,360600,354499,6101,0,0,
586,360600,354822,5778,0,0,
587,360600,355148,5452,0,0,
588,360600,355471,5129,0,0,
589,360600,355795,4805,0,0,
590,360600,356122,4478,0,0,
591,360600,356444,4156,0,0,
592,360600,356769,3831,0,0,
593,360600,357091,3509,0,0,
594,360600,357412,3188,0,0,
595,360600,357736,2864,0,0,
596,360600,358062,2538,0,0,
597,360600,358384,2216,0,0,
598,360600,358692,1908,0,0,
599,360600,358977,1623,0,0,
600,360600,359415,1185,0,0,
601,360600,359691,909,0,0,
602,360600,359844,756,0,0,
603,360600,360025,575,0,0,
604,360600,360149,451,0,0,
605,360600,360275,325,0,0,
606,360600,360341,259,0,0,
607,360600,360371,229,0,0,
608,360600,360401,199,0,0,
609,360600,360431,169,0,0,
610,360600,360458,142,0,0,
611,360600,360510,90,0,0,
612,360600,360539,61,0,0,
613,360600,360551,49,0,0,
614,360600,360585,15,0,0,
615,360600,360600,0,0,0,


--MOE Group 8--
Detailed Data:,output_LinkMOE.csv
from_node_id,to_node_id,type_code,link_type,link_length,start_time_in_min,end_time_in_min,total_link_volume,lane_capacity_in_vhc_per_hour,link_capacity_in_vhc_per_hour,volume_over_capacity_ratio,avg_waiting_time_on_loading_buffer_(min), speed_limit,speed,free-flow_travel_time,travel_time,percentage_of_speed_limit, level_of_service, sensor_data_flag, sensor_link_volume, simulated_link_volume, measurement_error, abs_measurement_error_percentage, simulated_AADT, TotalEnergy_(J / hr), CO2_(g / hr), NOX_(g / hr), CO_(g / hr), HC_(g / hr, PM_(g / hr), PM_2_5(g / hr),sov_volume, hov_volume, truck_volume, intermodal_volume,passenger car,passenger truck,light commercial truck,single unit short-haul truck,combination long-haul truck,geometry, from_node_id,to_node_id,vol_h1,vol_h2,vol_h3,vol_h4,vol_h5,vol_h6,vol_h7,vol_h8,vol_h9,vol_h10,vol_h11,vol_h12,vol_h13,vol_h14,vol_h15,vol_h16,vol_h17,vol_h18,vol_h19,vol_h20,vol_h21,vol_h22,vol_h23,vol_h24,speed_h1,speed_h2,speed_h3,speed_h4,speed_h5,speed_h6,speed_h7,speed_h8,speed_h9,speed_h10,speed_h11,speed_h12,speed_h13,speed_h14,speed_h15,speed_h16,speed_h17,speed_h18,speed_h19,speed_h20,speed_h21,speed_h22,speed_h23,speed_h24,vol_d1,spd_d1,
1,2,f,Freeway,6.0000,420,540,3800,25900.2012,77700.6016,0.0245,0.0000,60.0000,59.8520,6.0000,6.0148,100,A,0,0.0000,3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3800,0,0,0,3800,0,0,0,0,"<LineString><coordinates>2.990533,23.709122,0.0 9.771559,38.407951,0.0</coordinates></LineString>",1,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1672.0000,1908.0000,220.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,59.8604,59.8467,59.7033,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,
1,3,f,Freeway,4.0000,420,540,6000,23403.4727,70210.4219,0.0427,0.0000,60.0000,59.8689,4.0000,4.0088,100,A,0,0.0000,6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6000,0,0,0,6000,0,0,0,0,"<LineString><coordinates>9.771559,38.407951,0.0 20.024308,38.407951,0.0</coordinates></LineString>",1,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2775.0000,3009.0000,216.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,59.8650,59.8732,59.8076,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,
