time_stamp_in_min,cumulative_in_flow_count,cumulative_out_flow_count,number_of_vehicles_in_network,flow_in_a_min,avg_trip_time_in_min
494,225508,188979,36529,3131,14.2664,
495,228373,191846,36527,2865,14.3435,
496,231393,194675,36718,3020,14.2272,
497,234390,197547,36843,2997,14.3427,
498,237450,200411,37039,3060,14.3047,
499,240407,203278,37129,2957,14.2208,
500,243538,206121,37417,3131,14.2039,
501,246612,208971,37641,3074,14.2,
502,249540,211817,37723,2928,14.2331,
503,252420,214680,37740,2880,14.2615,
504,255557,217541,38016,3137,14.136,
505,258625,220410,38215,3068,14.1603,
506,261568,223257,38311,2943,14.1965,
507,264642,226110,38532,3074,14.1239,
508,267570,228957,38613,2928,14.1518,
509,270450,231808,38642,2880,14.1787,
510,273587,234686,38901,3137,14.0619,
511,276655,237532,39123,3068,14.0828,
512,279598,240404,39194,2943,14.1166,
513,282672,243239,39433,3074,14.0427,
514,285600,246104,39496,2928,14.0708,
515,288480,248951,39529,2880,14.0989,
516,291617,251823,39794,3137,13.9791,
517,294685,254689,39996,3068,14.0004,
518,297628,257537,40091,2943,14.034,
519,300702,260381,40321,3074,13.9583,
520,303762,263229,40533,3060,14.0131,
521,306510,266106,40404,2748,13.9805,
522,309718,268950,40768,3208,13.8339,
523,312715,271835,40880,2997,13.9873,
524,315658,274667,40991,2943,13.9484,
525,318732,277535,41197,3074,13.873,
526,321792,280378,41414,3060,13.9239,
527,324540,283249,41291,2748,13.8841,
528,327748,286099,41649,3208,13.7372,
529,330745,288978,41767,2997,13.8806,
530,333688,291832,41856,2943,13.8354,
531,336762,294683,42079,3074,13.7487,
532,339822,297511,42311,3060,13.782,
533,342570,300389,42181,2748,13.7314,
534,345778,303256,42522,3208,13.5793,
535,348775,306114,42661,2997,13.6961,
536,351718,308992,42726,2943,13.6367,
537,354792,311822,42970,3074,13.5353,
538,357852,314692,43160,3060,13.5519,
539,360600,317561,43039,2748,13.4862,
540,360600,320410,40190,0,0,
541,360600,323278,37322,0,0,
542,360600,326060,34540,0,0,
543,360600,328650,31950,0,0,
544,360600,331091,29509,0,0,
545,360600,333254,27346,0,0,
546,360600,335162,25438,0,0,
547,360600,336875,23725,0,0,
548,360600,338423,22177,0,0,
549,360600,339712,20888,0,0,
550,360600,340834,19766,0,0,
551,360600,341860,18740,0,0,
552,360600,342709,17891,0,0,
553,360600,343458,17142,0,0,
554,360600,344101,16499,0,0,
555,360600,344672,15928,0,0,
556,360600,345195,15405,0,0,
557,360600,345633,14967,0,0,
558,360600,345990,14610,0,0,
559,360600,346313,14287,0,0,
560,360600,346621,13979,0,0,
561,360600,346928,13672,0,0,
562,360600,347225,13375,0,0,
563,360600,347523,13077,0,0,
564,360600,347825,12775,0,0,
565,360600,348126,12474,0,0,
566,360600,348425,12175,0,0,
567,360600,348721,11879,0,0,
568,360600,349024,11576,0,0,
569,360600,349338,11262,0,0,
570,360600,349653,10947,0,0,
571,360600,349971,10629,0,0,
572,360600,350293,10307,0,0,
573,360600,350618,9982,0,0,
574,360600,350941,9659,0,0,
575,360600,351265,9335,0,0,
576,360600,351586,9014,0,0,
577,360600,351909,8691,0,0,
578,360600,352235,8365,0,0,
579,360600,352560,8040,0,0,
580,360600,352880,7720,0,0,
581,360600,353206,7394,0,0,
582,360600,353530,7070,0,0,
583,360600,353854,6746,0,0,
584,360600,354178,6422,0,0,
585,360600,354499,6101,0,0,
586,360600,354822,5778,0,0,
587,360600,355148,5452,0,0,
588,360600,355471,5129,0,0,
589,360600,355795,4805,0,0,
590,360600,356122,4478,0,0,
591,360600,356444,4156,0,0,
592,360600,356769,3831,0,0,
593,360600,357091,3509,0,0,
594,360600,357412,3188,0,0,
595,360600,357736,2864,0,0,
596,360600,358062,2538,0,0,
597,360600,358384,2216,0,0,
598,360600,358692,1908,0,0,
599,360600,358977,1623,0,0,
600,360600,359415,1185,0,0,
601,360600,359691,909,0,0,
602,360600,359844,756,0,0,
603,360600,360025,575,0,0,
604,360600,360149,451,0,0,
605,360600,360275,325,0,0,
606,360600,360341,259,0,0,
607,360600,360371,229,0,0,
608,360600,360401,199,0,0,
609,360600,360431,169,0,0,
610,360600,360458,142,0,0,
611,360600,360510,90,0,0,
612,360600,360539,61,0,0,
613,360600,360551,49,0,0,
614,360600,360585,15,0,0,
615,360600,360600,0,0,0,
