time_stamp_in_min,cumulative_in_flow_count,cumulative_out_flow_count,number_of_vehicles_in_network,flow_in_a_min,avg_trip_time_in_min
1079,20902,20308,594,0,0,
1080,20902,20330,572,0,0,
1081,20902,20342,560,0,0,
1082,20902,20353,549,0,0,
1083,20902,20366,536,0,0,
1084,20902,20374,528,0,0,
1085,20902,20386,516,0,0,
1086,20902,20396,506,0,0,
1087,20902,20411,491,0,0,
1088,20902,20418,484,0,0,
1089,20902,20430,472,0,0,
1090,20902,20448,454,0,0,
1091,20902,20461,441,0,0,
1092,20902,20481,421,0,0,
1093,20902,20487,415,0,0,
1094,20902,20497,405,0,0,
1095,20902,20505,397,0,0,
1096,20902,20519,383,0,0,
1097,20902,20527,375,0,0,
1098,20902,20535,367,0,0,
1099,20902,20542,360,0,0,
1100,20902,20545,357,0,0,
1101,20902,20548,354,0,0,
1102,20902,20553,349,0,0,
1103,20902,20555,347,0,0,
1104,20902,20556,346,0,0,
1105,20902,20774,128,0,0,
1106,20902,20786,116,0,0,
1107,20902,20795,107,0,0,
1108,20902,20804,98,0,0,
1109,20902,20815,87,0,0,
1110,20902,20828,74,0,0,
1111,20902,20837,65,0,0,
1112,20902,20847,55,0,0,
1113,20902,20857,45,0,0,
1114,20902,20870,32,0,0,
1115,20902,20882,20,0,0,
1116,20902,20886,16,0,0,
1117,20902,20893,9,0,0,
1118,20902,20898,4,0,0,
1119,20902,20903,-1,0,0,
1120,20902,20903,-1,0,0,
1121,20902,20903,-1,0,0,
1122,20902,20903,-1,0,0,
1123,20902,23939,-3037,0,0,
1124,20902,24033,-3131,0,0,
1125,20902,24120,-3218,0,0,
1126,20902,24207,-3305,0,0,
1127,20902,24288,-3386,0,0,
1128,20902,24362,-3460,0,0,
1129,20902,24421,-3519,0,0,
1130,20902,24495,-3593,0,0,
1131,20902,24574,-3672,0,0,
1132,20902,24643,-3741,0,0,
1133,20902,24718,-3816,0,0,
1134,20902,24775,-3873,0,0,
1135,20902,24827,-3925,0,0,
1136,20902,24867,-3965,0,0,
1137,20902,24905,-4003,0,0,
1138,20902,24938,-4036,0,0,
1139,20902,24968,-4066,0,0,
1140,20902,24997,-4095,0,0,
1141,20902,25031,-4129,0,0,
1142,20902,25058,-4156,0,0,
1143,20902,25092,-4190,0,0,
1144,20902,25115,-4213,0,0,
1145,20902,25139,-4237,0,0,
1146,20902,25168,-4266,0,0,
1147,20902,25191,-4289,0,0,
1148,20902,25222,-4320,0,0,
1149,20902,25243,-4341,0,0,
1150,20902,25262,-4360,0,0,
1151,20902,25274,-4372,0,0,
1152,20902,25282,-4380,0,0,
1153,20902,25282,-4380,0,0,
1154,20902,25282,-4380,0,0,
1155,20902,25282,-4380,0,0,
1156,20902,25282,-4380,0,0,
1157,20902,25282,-4380,0,0,
1158,20902,25282,-4380,0,0,
1159,20902,25282,-4380,0,0,
1160,20902,25282,-4380,0,0,
1161,20902,25282,-4380,0,0,
1162,20902,25282,-4380,0,0,
1163,20902,25282,-4380,0,0,
1164,20902,25282,-4380,0,0,
1165,20902,25282,-4380,0,0,
1166,20902,25282,-4380,0,0,
1167,20902,25282,-4380,0,0,
1168,20902,25282,-4380,0,0,
1169,20902,25282,-4380,0,0,
1170,20902,25282,-4380,0,0,
1171,20902,25282,-4380,0,0,
1172,20902,25282,-4380,0,0,
1173,20902,25282,-4380,0,0,
1174,20902,25282,-4380,0,0,
1175,20902,25282,-4380,0,0,
1176,20902,25282,-4380,0,0,
1177,20902,25282,-4380,0,0,
1178,20902,25282,-4380,0,0,
1179,20902,25282,-4380,0,0,
1180,20902,25282,-4380,0,0,
1181,20902,25282,-4380,0,0,
1182,20902,25282,-4380,0,0,
1183,20902,25282,-4380,0,0,
1184,20902,25282,-4380,0,0,
1185,20902,25282,-4380,0,0,
1186,20902,25282,-4380,0,0,
1187,20902,25282,-4380,0,0,
1188,20902,25282,-4380,0,0,
1189,20902,25282,-4380,0,0,
1190,20902,25282,-4380,0,0,
1191,20902,25282,-4380,0,0,
1192,20902,25282,-4380,0,0,
1193,20902,25282,-4380,0,0,
1194,20902,25282,-4380,0,0,
1195,20902,25282,-4380,0,0,
1196,20902,25282,-4380,0,0,
1197,20902,25282,-4380,0,0,
1198,20902,25282,-4380,0,0,
1199,20902,25282,-4380,0,0,
1200,20902,25282,-4380,0,0,
1201,20902,25282,-4380,0,0,
1202,20902,25282,-4380,0,0,
1203,20902,25282,-4380,0,0,
1204,20902,25282,-4380,0,0,
1205,20902,25282,-4380,0,0,
1206,20902,25282,-4380,0,0,
1207,20902,25282,-4380,0,0,
1208,20902,25282,-4380,0,0,
1209,20902,25282,-4380,0,0,
1210,20902,25282,-4380,0,0,
1211,20902,25282,-4380,0,0,
1212,20902,25282,-4380,0,0,
1213,20902,25282,-4380,0,0,
1214,20902,25282,-4380,0,0,
1215,20902,25282,-4380,0,0,
1216,20902,25282,-4380,0,0,
1217,20902,25282,-4380,0,0,
1218,20902,25282,-4380,0,0,
1219,20902,25282,-4380,0,0,
1220,20902,25282,-4380,0,0,
1221,20902,25282,-4380,0,0,
1222,20902,25282,-4380,0,0,
1223,20902,25282,-4380,0,0,
1224,20902,25282,-4380,0,0,
1225,20902,25282,-4380,0,0,
1226,20902,25282,-4380,0,0,
1227,20902,25282,-4380,0,0,
1228,20902,25282,-4380,0,0,
1229,20902,25282,-4380,0,0,
1230,20902,25282,-4380,0,0,
1231,20902,25282,-4380,0,0,
1232,20902,25282,-4380,0,0,
1233,20902,25282,-4380,0,0,
1234,20902,25282,-4380,0,0,
1235,20902,25282,-4380,0,0,
1236,20902,25282,-4380,0,0,
1237,20902,25282,-4380,0,0,
1238,20902,25282,-4380,0,0,
1239,20902,25282,-4380,0,0,
1240,20902,25282,-4380,0,0,
1241,20902,25282,-4380,0,0,
1242,20902,25282,-4380,0,0,
1243,20902,25282,-4380,0,0,
1244,20902,25282,-4380,0,0,
1245,20902,25282,-4380,0,0,
1246,20902,25282,-4380,0,0,
1247,20902,25282,-4380,0,0,
1248,20902,25282,-4380,0,0,
1249,20902,25282,-4380,0,0,
1250,20902,25282,-4380,0,0,
1251,20902,25282,-4380,0,0,
1252,20902,25282,-4380,0,0,
1253,20902,25282,-4380,0,0,
1254,20902,25282,-4380,0,0,
1255,20902,25282,-4380,0,0,
1256,20902,25282,-4380,0,0,
1257,20902,25282,-4380,0,0,
1258,20902,25282,-4380,0,0,
1259,20902,25282,-4380,0,0,
1260,20902,25282,-4380,0,0,
1261,20902,25282,-4380,0,0,
1262,20902,25282,-4380,0,0,
1263,20902,25282,-4380,0,0,
1264,20902,25282,-4380,0,0,
1265,20902,25282,-4380,0,0,
1266,20902,25282,-4380,0,0,
1267,20902,25282,-4380,0,0,
1268,20902,25282,-4380,0,0,
1269,20902,25282,-4380,0,0,
1270,20902,25282,-4380,0,0,
1271,20902,25282,-4380,0,0,
1272,20902,25282,-4380,0,0,
1273,20902,25282,-4380,0,0,
1274,20902,25282,-4380,0,0,
1275,20902,25282,-4380,0,0,
1276,20902,25282,-4380,0,0,
1277,20902,25282,-4380,0,0,
1278,20902,25282,-4380,0,0,
1279,20902,25282,-4380,0,0,
1280,20902,25282,-4380,0,0,
1281,20902,25282,-4380,0,0,
1282,20902,25282,-4380,0,0,
1283,20902,25282,-4380,0,0,
1284,20902,25282,-4380,0,0,
1285,20902,25282,-4380,0,0,
1286,20902,25282,-4380,0,0,
1287,20902,25282,-4380,0,0,
1288,20902,25282,-4380,0,0,
1289,20902,25282,-4380,0,0,
1290,20902,25282,-4380,0,0,
1291,20902,25282,-4380,0,0,
1292,20902,25282,-4380,0,0,
1293,20902,25282,-4380,0,0,
1294,20902,25282,-4380,0,0,
1295,20902,25282,-4380,0,0,
1296,20902,25282,-4380,0,0,
1297,20902,25282,-4380,0,0,
1298,20902,25282,-4380,0,0,
1299,20902,25282,-4380,0,0,
1300,20902,25282,-4380,0,0,
1301,20902,25282,-4380,0,0,
1302,20902,25282,-4380,0,0,
1303,20902,25282,-4380,0,0,
1304,20902,25282,-4380,0,0,
1305,20902,25282,-4380,0,0,
1306,20902,25282,-4380,0,0,
1307,20902,25282,-4380,0,0,
1308,20902,25282,-4380,0,0,
1309,20902,25282,-4380,0,0,
1310,20902,25282,-4380,0,0,
1311,20902,25282,-4380,0,0,
1312,20902,25282,-4380,0,0,
1313,20902,25282,-4380,0,0,
1314,20902,25282,-4380,0,0,
1315,20902,25282,-4380,0,0,
1316,20902,25282,-4380,0,0,
1317,20902,25282,-4380,0,0,
1318,20902,25282,-4380,0,0,
1319,20902,25282,-4380,0,0,
1320,20902,25282,-4380,0,0,
1321,20902,25282,-4380,0,0,
1322,20902,25282,-4380,0,0,
1323,20902,25282,-4380,0,0,
1324,20902,25282,-4380,0,0,
1325,20902,25282,-4380,0,0,
1326,20902,25282,-4380,0,0,
1327,20902,25282,-4380,0,0,
1328,20902,25282,-4380,0,0,
1329,20902,25282,-4380,0,0,
1330,20902,25282,-4380,0,0,
1331,20902,25282,-4380,0,0,
1332,20902,25282,-4380,0,0,
1333,20902,25282,-4380,0,0,
1334,20902,25282,-4380,0,0,
1335,20902,25282,-4380,0,0,
1336,20902,25282,-4380,0,0,
1337,20902,25282,-4380,0,0,
1338,20902,25282,-4380,0,0,
1339,20902,25282,-4380,0,0,
1340,20902,25282,-4380,0,0,
1341,20902,25282,-4380,0,0,
1342,20902,25282,-4380,0,0,
1343,20902,25282,-4380,0,0,
1344,20902,25282,-4380,0,0,
1345,20902,25282,-4380,0,0,
1346,20902,25282,-4380,0,0,
1347,20902,25282,-4380,0,0,
1348,20902,25282,-4380,0,0,
1349,20902,25282,-4380,0,0,
